userName,score,at,Ulasan,Sentimen Widi,Sentimen Nanda,"Sentimen Dra. UMI KOLISOH, M.Pd",Sentimen,Keterangan:
Boyak Cell12,3,2022-02-03 15:43:00,Kalau bisa bikin aplikasi yg versi lite Biar yg pake hp android versi lama bisa di buka . . Tolong di perhatikan juga kami para pengguna hp android jadul,3,3,3,0,
Hendra Wanto,5,2022-02-03 14:29:00,"bagus sekali, tapi kalau cuaca buruk sinyal nya hilang, tolong perbaiki lagi",2,2,2,1,
Hilman Rafi,1,2022-02-03 14:18:00,"Mending di hapus aja yg namanya unlimited (""turbo"") Lelet parah :) , dulu pertama kali pakai XL di daerah saya ngebut, sekarang malah LELET parah, harus ke lantai 2 baru bisa sosmed lancar. Otw cari provider lain yang cocok di daerah saya terimakasih",1,1,1,-1,
Rahmat Eko Saputra,1,2022-02-03 14:07:00,"Pelayanan *123# sangat buruk tidak sesuai, masa pulsa sudah di beli saat pengaktifan paket malah gak bisa, udh 3 x ngalamin kaya gini, kapok pake XL",1,1,1,-1,
Ahmad Fendi,5,2022-02-03 13:47:00,trima kasih my xl udah Versi 5.5.10 semoga ke depan nya lebih nyaman nan sukses Slalu.,2,2,2,1,
moch irfan,1,2022-02-03 12:53:00,Udah 2 bulanan di daerah saya sinyalnya suka gak stabil udah di restart harusnya mantap malah balik lagi ke xl care cuma suruh mode pesawat sama restart. Udah gak tau lagi ini xl kenapa jadi sulit sinyalnya Padahal sebelumnya baik baik aja tu sinyal YUK XL PERBAIKILAH MASALAH SINYAL MU ITU,1,1,1,-1,
Winston Morris,1,2022-02-03 12:19:00,"Kenapa makin ribet buat beli kouta, xtra combo mini malah gk ada ilang ntah kmna, malah disuruh beli yg VIP pdahal tertera reguler malah di bawa ke combo plus vip",1,1,1,-1,
Julio Andy,4,2022-02-03 12:08:00,aplikasinya udah bagus mnurut saya g ad yg aneh tpi knapa y xl pake main game Battle royalle jaringan nya nga stabil sering reconnect,2,2,2,1,
Fhina Princess,5,2022-02-03 11:10:00,"untuk sekarang XL sudah lebih dari cukup, tapi alangkah baiknya kedepan nya di kembangkan lagi untuk fitur bonus buat para gamers.... mantapðŸ¤˜ðŸ¤˜",2,2,2,1,
Danny Oktariyanto,4,2022-02-03 0:06:00,ini sudah bagus tolong di perbagus lagi supaya pemakai XL lainnya puas dalam pelayan aplikasi ini,2,2,2,1,
CHAVIN GAMING,2,2022-02-02 8:44:00,"Ayo lah ini kok sinyalnya hilang datang hilang datang ya, in udh 3 kali hilang hari ini",1,1,1,-1,
Muhammad Hermawan,1,2022-02-02 7:57:00,Xl knapa sinyal nya dah 3 hari ke blakang sinyal nya jelek .tolong di perbaiki agar kami pengguna xl nyaman. Benerin ya sinyal nya agar bagus lagi .,1,1,1,-1,
mang oji,5,2022-02-02 6:58:00,"Secara keseluriban sinyal bagus.. harga promo luar biasa tapi saya tidak mengerti tiba"" hilang.. harga kompetitif seimbang dengan kualitasnya..ðŸ‘",2,2,2,1,
Budi Ari,4,2022-02-02 5:59:00,"Tambah jaringan lg bos.. Biyar semakin lancar area jateng,. Harga paketan masih mahal bos",1,1,1,-1,
Carel CBR,5,2022-02-02 5:58:00,"sinyal XL sudah mulai bagus di wilayah Bangka tengah provinsi kepulauan Bangka Belitung,, pertahankan,, mantaaaaap,,sangat recommended",2,2,2,1,
DearLife,1,2022-02-02 4:03:00,"Nunggu agent sampai 1,5jam cuma disuruh nunggu terus. Kecewa sama XL. Pulsa kepotong tiap hari padahal data seluler off. Isi pulsa buat urgent malah dipotong setiap hari. Kecewa",1,1,1,-1,
Aditya Galih,3,2022-02-02 3:24:00,Apk nya sih bagus.. Tapi kenapa JARINGAN DI DAERAH SOLO SERING BANGET GANGGUAN. Mohon segera di perbaiki dong..,3,3,3,0,
Khalfani Dewa Haryaka,3,2022-02-02 2:49:00,jaringan nya kurang bagus ... tolong d perbaiki ya terimakasih,3,3,3,0,
Sabituddin Bigbang,1,2022-02-02 2:36:00,"Masa beli 2 kali masuknya sekali dengan paket yang sama(Paket Xtra 10GB kuota utama + Youtube 20GB). Awalnya beli di ovo...karena ""sedang diproses""nya lama, lalu beli paket yg sama lagi di tokped langsung masuk. Tak lama kemudian saya cek yang di ovo ternyata udah berhasil juga. Namun ketika cek di aplikasi, hanya masuk 1 paketnya...cuma dapet 10GB kuota utama. Ga ada palet akumulasinya ... terus apps-nya lemot harus pake mode game booster di samsung A51.",1,1,1,-1,
Syaiful Bahri,1,2022-02-02 21:50:00,"Setelah update app tidak bisa dibuka, sdh uninstal dan instal lagi tetap sama tidak bisa di buka, gmn ini ?????",1,1,1,-1,
Juliano Hardian,2,2022-02-02 21:49:00,Aplikasi terputus dan keluar ketika setelah memasukan kode OTP. Bahkan setelah di reinstall.,1,1,1,-1,
Rizal AR,1,2022-02-02 21:40:00,Saran Donk Pembayaran Isi Pulsa Nya Akulaku. Bila Ada Pembayaran Akulaku Baru Bintang 5 ðŸ˜,2,2,2,1,
Imassaadah,5,2022-02-02 1:48:00,"Ni aplikasi knapa si,, kadang seneng pake myxl, kadang emosiii banget, kuota ada, jaringan lancar, tapi masih aja ""coba lagi"" kek lagi main gosok ale alee tau,, giliran lagi butuh bgt malah kaya gini _-",3,3,3,0,
Ima maghfiroh,1,2022-02-02 17:54:00,Tolong dong sinyalnya diperbaiki lagi buat wa aja susah apalagi buat game,1,1,1,-1,
Re arhio Channel,2,2022-02-02 17:31:00,"Terimakasih, maaf bintang saya kurangi akhir akhir ini haaaanccurr jaringan ditempat saya, hujan dikit udah kacau tu jaringan ... Banyak pelanggan yg kecewa kalau begini. Mohon dibenerin , untuk teknisi nya",1,1,1,-1,
kha Official,1,2022-02-02 16:54:00,Pulsa gua ko bisa ngurang? Padahal udh ada paket data!! Saya sangat benarÂ² kcewa dan menyesal telah menggunakan XL!!!,1,1,1,-1,
Loys Terate,5,2022-02-02 16:23:00,"Semoga di Lembata,NTT signalnya dikuatkan lagi,towernya bertambah lagi masih beberapa daerah yang susah internet.sudah 4G tapi loadingnya agak lambat bahkan lama.tingkatkan terus signal internet nya ðŸ‘",3,3,3,0,
Naori Uchiha,5,2022-02-02 16:05:00,"Terima Kasih Banyak Aplikasi XL Dikarenakan Udah Menambakan FiturÂ² Bagus, Dan Saya Senang Bisa Mendapatkan Point Bonus Buat Nanti Ditukarkan, Dan Saya Juga Mempercayai Aplikasi XL Ini Dikarenakan Saya Suka Isi Paketan Disini Suka Isi Top-up Game Juga Disini Sukses Selalu Aplikasi XL :"")",2,2,2,1,
surya junaedi,1,2022-02-02 15:28:00,Kenapa setiap isi pulsa sisa beli paket pulsa tiba2 hilang padahal tidak ada pemakaian sms atau dll kaya lintah darat sue lumayan kan sisa 6rb pulsa,1,1,1,-1,
Pipin24 Zaen24,1,2022-02-02 15:21:00,Apk konyol aku beli paket data masih sisa 800 mb youtube.. aku isi lagi 4 gb baru yang lama malah ilang.. tolong lah ini merugikan pihak enguna xl... Kalo gini trus saya bisa pindah kekartu yang lain... Dan pasti habis ini disuruh hubungin myxl caredi padahal cuma dibaca doang kan... SAYA SANGAT KECEWA...,1,1,1,-1,
Gdent Gallery,1,2022-02-02 14:51:00,"saya pengguna xl prioritas 3 tahun lebih kecewa, karena penagihan berulang-ulang dan membengkak tidak sewajarnya. aplikasi live chat tidak ada respon. mohon lebih memperhatikan customer",1,1,1,-1,
Brewew lah,1,2022-02-02 13:44:00,"XL sekarang Luar biasa lemot nya, udah 3 hari ngga bisa buka apa apa padahal kuota baru beli/masih banyak , Berulang kali restart hp/mode airplan tetap aja lemott keselll Kalau gini terus auto pindah operator!!",1,1,1,-1,
Dadan R,5,2022-02-02 13:29:00,"Stabil sih, main game lancar,. gak ke telkomsel telkomsel letoy, udah letoy di pake main game lag parah padahal pake kuota regular sinyal nya 4g+ tapi letoyy nyaa bikin naik darah,. untung ada XL, udah lama pake telkomsel, lama lama muak juga jaringam tsel,. auto pindah XL, terima kasih XL",2,2,2,1,
viral wae82,3,2022-02-02 13:18:00,"Ok ch, tapi kalau mau bintang 5 perbaiki sinyalnya, karna kami sangat kecewa karna sinya di daerah saya hilangÂ² terus apalagi bila sudah jam 5 sore keatas aduuuuh parah.",1,1,1,-1,
Ruslan Priyadi,3,2022-02-02 12:24:00,"Saya baru menggunakan aplikasi ini, saya berharap di jaringan tempat saya bisa full",1,1,1,-1,
Daffa Yudono,4,2022-02-02 11:54:00,"menggunakan layanan XL semakin mudah dengan menggunakan aplikasi ini terutama dengan beberapa promo dan potongan harga yang tak bisa dilakukan dengan sebatas *123#. akan tetapi untuk hp spek rendah seperti hp saya, sering terjadi force close sehingga myXL harus dibuka berulang-ulang",3,3,3,0,
Your Lucky Day,5,2022-02-02 11:20:00,"makasih pelayanan nya bagus, hanya saja jaringan nya di kota saya (Gorontalo) masih kurang memadai, jaringan 4g sering down ke h+ dan tiap sekali seminggu pasti hilang jaringannya. Mohon diperbaiki lagi kualitasnya selebihnya udah bagus kok.",2,2,2,1,
Samud Al fauzi,1,2022-02-02 11:12:00,Apk rusak kalau masak. Setiap gue mau beli paket selalu ada tulisan apk tidak menggapi nyesel gue beli xl kalau begini terus,1,1,1,-1,
CHARLY CHAERUDDIN,1,2022-02-02 11:03:00,"katanya paska bayar, udah gitu ada uang deposit & batas limit pemakaian, tapi ada promo paket internet tetep aja kudu bayar dulu kaya pra bayar aja?!?!??",1,1,1,-1,
Ru ningsih,3,2022-02-02 10:37:00,"bintang 3 dulu ,sebab baru pake xl, smogaa XL lebih baek dari yg laen",3,3,3,0,
Nobaode,5,2022-02-02 10:36:00,mantap... ga repot kalo pakai aplikasinya... tinggal pilih pilih terus pencet beli..,2,2,2,1,
Wandi Pekalongan,5,2022-02-02 10:05:00,Sekarang @XL semakin maju sinyalnya Sekarang sudh gak ngelag lagi buat main gam online... Terimakasih XL sudah membuat saya puas memakainya...,2,2,2,1,
Akbar Ramdani,1,2022-02-01 9:09:00,"Di download nemen nemen rak keno di bukak ,padahal wes tak daftar ,ngentek ngentek ke paketan otk ,asemm ok, download te sui maneh ,!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!_7_++_+__+7_-(+_+-+82872+3? Nnnnnnniywhjsjnjdujnhdugsgjijxhhhghgbd ke yang unik dan menarik setiap saat dan kemudian aku pak gowo montor re di gowo mamak ku beli di lokasimu tersedia banyak iklan telepon ke Facebook ke Facebook hari ini Jon bon Jovi always be my baby ku beli d!!!!!!!!!!!!!!!!!Â¡!",1,1,1,-1,
Hezkie lelucky,3,2022-02-01 2:37:00,sementara saya kasih 3 bintang karena dilokasi tempat tinggal saya jaringan nya masih belum optimal tapi jika saya berada diluar rumah jaringan nya ok punya,3,3,3,0,
Rahmat Ardiyan Sulistiyo,1,2022-02-01 22:09:00,"Saya merasa teramat sangat kecewa dengan XL. Sudah beberapa kali pulsa saya tersedot dan jumlahnya juga tidak sedikit, pada saat itu saya baru saja membeli pulsa dan mendapatkan bonus kuota saya sengaja tidak memaketkan pulsa saya dikarenakan sudah ada kuota dari bonus isi pulsa, namun tibaÂ² pulsa saya tersedot sangat banyak, padahal saya sudah mengaktifkan fitur pulsa safe.Saya pernah membeli paket kuota Xtra Combo Plus 48GB,pulsa saya sudah terpotong namun yg masuk malah yg 28GB. Sgt Merugikan",1,1,1,-1,
EKA FIRDIN,1,2022-02-01 1:34:00,Gimana sih...niat jualan gak...di aplikasi gak ada penawaran paket kuota sama sekali...gak guna banget punya aplikasi XL...gunanya aplikasi XL itu kan buat beli kuota...lah ini gak ada menu nya sama sekali...ANEHH,1,1,1,-1,
Nita Yunita,1,2022-02-01 18:32:00,"aplikasi eror terus , gak bisa di buka aplikasinya .. baru di buka 5 detik sudah keluar sendiri , begitu seterusnya , surah coba telfon ke xl 817 di suruh menunggu sedang di perbaiki .. tapi kenyataannya makin kesini makin gak jelas aplikasinya",1,1,1,-1,
Tata Layla D,1,2022-02-01 18:11:00,"jelek banget ga biasanya kaya gini, ngisi kuota jelas jelas pembayaran berhasil tapi ga masuk kuotanya. mana customer service nya lemot banget ga di respon respon. nunggu antri dulu itupun udah sejam ga ada respon emangnya perusahaan gede ga punya agen CS banyak?",1,1,1,-1,
Mamet BZ,3,2022-02-01 16:58:00,"Untuk aplikasi jujur sangat bagus, tapi tolong di perbaiki masalah jaringan internet nya, sering sekali terjadi gangguan tiba-tiba signal menghilang dan darurat, kecepatan jaringan internet diperbaiki, saya pengguna setia XL sangat kecewa trmksh, sangat dengan tolong lah diperbaiki jaringan internetnya",2,2,2,1,
Nabil Hasan,2,2022-02-01 15:09:00,selamat malam kak maaf nih mau tanya saya beli paketan yang 28 kok masuk nya yang 15 itu kenapa ya mohon bantuannya kak saya sudah kejadian kedua kalinya seperti ini kak,3,3,3,0,
Fathira Rzky,1,2022-02-01 14:32:00,Coba dilihat lagi betul2 untuk iklan promo yg tidak sesuai dg kenyataan jangan ditampilkan di aplikasinya lg. Sblm isi pulsa murah giliran udh isi pulsa pilihan Paket berubahðŸ¤¦â€â™€ï¸,1,1,1,-1,
Achmad Maulana,1,2022-02-01 13:14:00,"Ini gimana si Xl. Ngaku doang prioritas. Udh tau lagi Pentingggg. Sinyal jelek, lemot, bikin Sensi! Bahkan ga ada sinyalll. Masa kalah ama Im3 dan Telkomsel . !!!!!!",1,1,1,-1,
Mukhamad Rosul,1,2022-02-01 13:13:00,"Paketan masih 4gb,masa aktif masih lama kok ga bisa digunakan.tanggal 19 kemarin saya beli,katanya sebulan kok ga sampe sebulan.",1,1,1,-1,
Murte Murte,5,2022-02-01 10:38:00,sengaja saya kasih bintang lima biar di baca...kenapa sinyal XL sekarang internet nya lelet bangat dan sering sekali ganguan di tempat saya..saya posisi di Labangka sngt2 jelek sekali sinyal nya..mohon pihak XL di perbaiki lagi kualitas nya biar gak kabur pelanggan nya....ðŸ™,1,1,1,-1,
dita mariana agustine,2,2022-02-01 0:40:00,"Mau login aja gk bisa2, kendala mulu, sinyal di hp malah hilang sma sekali ada tanda silang nya, udh dibayar pasca baysr nya, mo login aplikasi yg ini malah kendala terus, pdhal yg apk lama yg post paid bisa masuk, aneh",1,1,1,-1,
MDW Official,1,2022-01-31 7:03:00,"Mau nanya, knpa XL di kalimantan lemot bnget yak, knpa gitu aja, kmaren lancar2 aja ini lemotnya minta ampun, banting hp gw.",1,1,1,-1,
ARRY BAE,1,2022-01-31 6:51:00,"XL Pelit banget ngasi Kuota Unlimited Sbg Penggunan Kartu XL sy Kira Unlimited yg sy daftar di paket Combo plus untuk seluru setelah di baca Hanya untuk Wa, map, comperence & Edukasi. Tolong Lebih ber-inovasi kasi Unlimited yg lebih banyak di pakai setiap hari Contohnya Youtube, Tiktok, Instagram, Terutama Tiktok yg selalu sy pakai tiap hari kalau gini gak guna Namanya Unlimited Hanya Mampang Namanya saja.",1,1,1,-1,
nadi nadi,5,2022-01-31 5:29:00,apk nya bagus!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!dah tau bagus masih Di lihat,2,2,2,1,
Febri andi Gultom,1,2022-01-31 18:48:00,"Sinyal kalian kayak sampah... tau kalian, gk da panas, gk da hujan sinyal nya hilang. Di suruh update biar bisa VoLTE, biar ini,biar itu, biar tambah lelet iya sinyal kyk sampah gini lama"" XL ini. Klo satu bulan lagi kyk gni sinyal kalian.. kalian ketinggalan sama yg lain. Yakinlah.. klo iklan kalian jago, nyatanya... PENIPU...ðŸ¤¦ðŸ¼â€â™‚ï¸ðŸ¤¦ðŸ¼â€â™‚ï¸ðŸ¤¦ðŸ¼â€â™‚ï¸ðŸ¤¦ðŸ¼â€â™‚ï¸",1,1,1,-1,
Mu'Amar Yaro Huda,1,2022-01-31 17:47:00,"Saya beli kuota promo 4GB + Bonus MyQuota 15GB, tapi bonusnya ga masuk masuk. Sudah tanya ke live chat, tapi malah dikasih chat bot alhasil jawaban dari bot gada yang benar. Mohon kalau fitur live chat mending sama orang asli jangan pake bot parah gabisa diandalkan! !",1,1,1,-1,
Wanel Sitompul,1,2022-01-31 17:16:00,Tolong lah XL nya di bagus kan lagi jangan sampai kayak gini lah nanti lari semua pelanggan XL karena cuma sinyalnya jelek kali sampai harus manjat atas genteng emang ni di hutan musti manjat manjat genteng udah dari siang ni GK ada masuk sinyal nya min XL,1,1,1,-1,
ahmad fadel,1,2022-01-31 11:00:00,"jaringan internet nya nge lagi banget,sudah dengan bantuan maya ,udah lebih 2 dari 2021,masih gx ada perubahan juga ,saya beli paket akrab ,yang 100 ribu loh masa iya lag , internet nya ,pada saat bermain geme, naik turun koneksi nya tidak stabil ,dan buat,zoometing ,sumpah muter/ lag tidak stabil",1,1,1,-1,
BIMO PRASETIYO,4,2022-01-30 6:59:00,"Sinyal nya parah sih jelek bener ,naik turun terus ,makanya gua beli paketan XL kalo diskon doang selebih nya pake Telkomsel harga sama kualitas jelas diatas xl",1,1,1,-1,
Dera Isnoria,1,2022-01-30 4:53:00,"Saya sangat kecewa dg myxl ,kenapa setiap saya ngisi paket dg vocer ,saya beli vocer 19 GB tapi cuman masuk 11 GB ,tolong dong jujur yah my XL",1,1,1,-1,
Iqbal Mahendra Prayoga,2,2022-01-30 3:41:00,"Kenapa ya di daerah saya Kediri Jawa Timur, sinyal XL lebih kenceng di wilayah Masjid Agung Kota Kediri, dibandingkan di rumah saya Tinalan disebelahnya Radio Wijang Songko Kediri. Sinyal di Mesjid Agung bisa tembus 1,5mb/s - 3,2mb/s, sedangkan di rumah saya menjangkau 120kb/s saja sangat sulit, apakah ada yang menghalangi sinyal atau apakah? Semoga masalah ini segera diperbaiki karna sangat menyebalkan mengingat saya masih sekolah daring. Salam.",1,1,1,-1,
Amal Btg,1,2022-01-30 3:11:00,Aneh... Mau Isi ulang nomor voucher petunjuknya suruh buka myxl terus barcode...di aplikasinya malah gak ada buat barcode.. Wajar kalo banyak ngasi bintang 1. Apk nya kek gini gimana,1,1,1,-1,
Urif nur susanto,1,2022-01-30 2:24:00,"XL gak jelas. Saya menonaktifkan paket XTRA COMBO PKUS 20 GB kemudian saya beli lagi paket XTRA COMBO PLUS 10 GB, tapi dianggap non aktif karena sebelumnya menonaktifkan paket XTRA COMBO PLUS 20 GB. Sistemnya ABAL-ABAL. UNINSTAL!!! Kalau gini mending pindah ke by.U!!",1,1,1,-1,
Joko Supardi,2,2022-01-30 1:27:00,XL kenapa setiap melakukan transaksi untuk beli kuota selalu lemot dan gagal aktivasi. Itu membuat pulsa saya berkurang jadi saya tidak bisa membeli paket kuota yang saya ingin kan karena harus menambah pulsa lagi. Tolong untuk segera diperbaiki.,1,1,1,-1,
Eza Akbar,1,2022-01-30 1:23:00,"Tolong lah XL, harga kuota sekarang kok mahal banget, udah mahal jaringan pun tidak stabil, tolong kalok bisa di permurah harga kuotanya, sekian...",1,1,1,-1,
WirawanVlog,1,2022-01-30 14:19:00,"Sinyal naik turun, hujan dan g hujan sama aja... + milihÂ² lokasi untuk jaringannya padahal kota besar loh. Masih aja pilihÂ² lokasi sinyal nya",1,1,1,-1,
Joshua Obama,4,2022-01-29 6:15:00,"Tolong dong, saya kan ini kerjanya daring.... jadi perlu paket... paketnya gampang abis... tolong di keluarin paket 30 hari atau 7 hari paket ultimatenya... jadi saya gak perlu beli paket lagi kalo kouta saya habis... tolong dong, sekarang masa PPKM nyari duit susah... jadi saya selalu keluarin duit buat beli paket kalo abis.. Dah itu aja dari saya.",1,1,1,-1,
haris mantoro,4,2022-01-29 4:34:00,"Bole aku kasih saran, jika punya dua peket berbeda tolong beri pilihan paket mana yg mesti di gunakan. Tolong buat pengaturan paket.",2,2,2,1,
Kucluk gaming,2,2022-01-29 3:06:00,"Kecewa banget ama xl sumpah,,,pemberitahuan paket habis gak ada jadwal dan pukul berapa,,asal pengumuman aja,,gak tahu dah gua,,paket masih banyak dah angus,,user xl dari tahun 2016 padahal pake xl malah bikin kecewa",1,1,1,-1,
herm anto,1,2022-01-29 23:28:00,"Sinyal mulai gak stabil,sudah males pkai kartu XL. Dikomplain,ujung""nya cuma disuruh matiin hp,, Sinyal ok lagi,,tp beberapa jam kembali lagi tidak lancar,tidak stabil lagi,lama bosen juga pakai kartu Xl,sinyalnya cuma gitu"" aja. Sinyal nya Cuma buka apk my xl aja gak kuat,parah gak tu,? XL,XL area boyolali",1,1,1,-1,
Deno Ardian,1,2022-01-29 14:17:00,"Fitur live chat ga mutu, jawaban dr mesin ""Ternyata Maya perlu tambahan waktu untuk melakukan pengecekan, mohon bersabar ya"" & ""Mohon menunggu sebentar, saat ini Maya sedang melakukan pengecekan"" bukannya dpt solusi malah bikin drop pki XL.",1,1,1,-1,
indra prayogo,4,2022-01-29 0:30:00,"lumayan, saran user interface dipermudah, dan paket kalo bisa lebih murah aja, akan saya tambah bintang jika saya merasa sudah cukup puas dengan aplikasi",2,2,2,1,
Zellynapespen Zellynapespen,1,2022-01-28 4:22:00,Bukan nya bagus pakai aflikasi ini ..masa saya beli pulsa baru baru pilih paket dtng sms...pembelian paket tdk berhasil pulsa hbs paket data tk ada...woiii xl sya beli pulsa pk duit bkn pake daun...,1,1,1,-1,
BATIGOL Castle Crush,1,2022-01-28 2:45:00,Sekarang malah ga bisa masuk my XL sama sekali.. keluar langsung..ditendang sendiri.. ga bisa cek pulsa..ga bisa beli paket lewat my XL,1,1,1,-1,
Rizky Rizky,3,2022-01-28 23:56:00,"Sisa kuota saya tinggal 10 GB, kemudian saya isi 14 GB. Seharusnya kan disitu terisi 24 GB, tapi kok saya cek malah 14 GB, seharusnya tambah jadi 24 GB. Tolong di perbaiki. Terima kasih.",3,3,3,0,
intan jauhari,1,2022-01-28 15:09:00,"Hey, pembuat apk my xl, jangan korupsi terhadap paket data orang lain, padahal aku beli paket data 8 GB tpi kok didalamnya cuma 2 GB, mana GB sisanya padahal udah sering saya update apknya di play store disaat ada peringatan untuk update serta sering lemot deh, padahal banyak yg pakek apk ini, tpi kalo gini kami para pelanggan my xl malah terus-terusan ke buang percuma uangnya, dan pembuat apk my xl malah tambah kaya, lebih gunakan pekerjaan anda dengan jujur dan adil. Trims...",1,1,1,-1,
Darto iBra,3,2022-01-28 10:32:00,Lumayan lah.. Tapi dibanding Dg aplikasi operator sebelah masih jauh dari kata Bagus & menarik .. U/saat ini my XL yah gitu aja..,3,3,3,0,
Yazid Muhammad,5,2022-01-28 10:23:00,"XL terbaik untuk harga paket & isi paketnya saat ini, jaringan juga stabil, Jangan Pernah Berubah ya XL, tetep merakyat dikantong kami, para kuli serabutan. â˜ºï¸â˜ºï¸â˜ºï¸ðŸ¤œðŸ¾ðŸ¤›ðŸ¾",2,2,2,1,
Husain Mubarok,1,2022-01-28 10:06:00,"Gua saranin jangan beli kartu XL, susah banget sinyalnya bikin emosi, jaringannya suka hilang sendiri, buat WhatsApp, Instagram, Facebook, juga selalu nge lagh, ...",1,1,1,-1,
Jaenal Aripin,3,2022-01-28 0:51:00,Alhamdulilah bagus sinyalnya tapi apa boleh mengunduh aplikasi my xl dlm satu smartpone dengan nmor berbeda?saya menghubungi mbak maya tapi tidak terhubung meskipun saya sudah mendaftarkannya.,3,3,3,0,
Siti Rosalina,3,2022-01-27 7:24:00,"Bagus,cuman di aplikasinya kayak agak lambat aja loadingnya padahal kuota banyak,trs akhir akhir ini aku ngrasa paketnya agak lebih boros,padahal cuman wa,ig,dan YouTube sekali kali tapi 1minggu bisa 10gb sendiri",1,1,1,-1,
Kacung Sugeh,5,2022-01-27 6:49:00,Saya kasih bintang 5 untuk segera memperbaiki layanan sinyalnya... Semakin byk penguna nya harus layanan sinyalnya juga diperbaiki lah supaya tidak lemot... semangat xl,3,3,3,0,
Andi Ammar,1,2022-01-27 6:26:00,"Terlepas dari aplikasi nya, jaringan masih sangat ðŸ‘Ž, provider bisa berkembang gak? Katanya 4,5g? Kok kualitas jaringan nya kyk H+ malu boss klaim bertolak belakang dgn kenyataan",1,1,1,-1,
Agung Nurul,5,2022-01-27 22:33:00,akses internet saat pagi hari sebelum jam 08.00 sudah cepat...kalo sudah siang jam 10.00 SD jam 16.00 sore kadang macet2 an ...anak sy saat daring kuliah bingung sinyal padahal kuotanya masih banyak,3,3,3,0,
ngkuy opisial,2,2022-01-27 17:36:00,"Saya sudah lama jadi pengguna XL lebih 5th cuma sekarang jadi ada sistem area waktu ngerantu enak paket murah apalagi bonus area, setelah tidak merantau lagi dikampung harga paket mahal bonus area dikit jadi mohon maaf saya harus ganti provider",1,1,1,-1,
Rizal Wahyu hidayat,1,2022-01-27 16:38:00,"Niat buat provider ga sih, sinyal makin lama makin lambat, jangan cuma bicara dong, lakuin sesuatu kek apa dateng ke lokasi kek, gitu amat sih pelayanan nya, pliss dong dulu xl ga separah sekarang, sekarang malah jadi dibawah nya 3, parahh!!!",1,1,1,-1,
Joena Eddy,4,2022-01-27 13:32:00,"gampang jg,,baru pertama pakek XL,jaringannya aj kurang puas,4 bintang deh,,mantap lh,,bnyak bonus nya lg,tolong wilayah kec sipis pis ,kab ser gai,,di perluas jaringan V4 g nya",2,2,2,1,
Muhammad Sulistiyawan,1,2022-01-27 13:29:00,"Saya beli paket data EXTRA COMBO VIP 128K, dan masih ada sisa kuota 16 giga dari paket data sebelumnya dengan paket yang sama, tetapi TIDAK TERAKUMULASI, sudah lapor CS 4Hari belom ada kejelasan, untuk harga paket EXTRA COMBO VIP yg 15giga aja ngga dapet 65K TOLONG LAPORAN SAYA SEGERA DI PROSES KECEWA SAYA JADI PELANGGAN XL!!! Karna Harga paket datanya ngga murah!!",1,1,1,-1,
ismi tri agustina,3,2022-01-27 12:42:00,"Sebenernya xl tuh pling enak dn nyaman di sy pribadi, tpi krna 1 msalh ini yng bkin sy kecewa, saat scan vocher kenapa tidak bisa mengambil bonus ny Rp.0 pdahl sy sudh beberpa kali live chat msih tdak ada perubhan, hingga ke 4/5 kalinya sy beli msih tdk bsa",1,1,1,-1,
Brownies Cake,1,2022-01-27 11:36:00,"Ada masalah apa woii!! Gue buka aplikasi my xl udah bolak balik dari seminggu yg lalu sama sekali gabisa dibuka, padhal udah diupdate, trus uninstall install lagi copot lagi sampe ini lg install lagi ðŸ˜¤ðŸ˜¤",1,1,1,-1,
Harditia 3za,1,2022-01-27 11:20:00,Maaf kenapa saya login di aplikasi my xl tidak pernah bisa. Sudah saya coba berkali kali tetap tidak bisa. Tolong diperbaiki!,1,1,1,-1,
Sugeng Ahmad,5,2022-01-27 0:59:00,"dulu sempat jadi pelanggan XL gara"" dapat gratisan sms & pindah ke oprator lain karna XL lebih mahal Dan sekarang Saya Menjadi pelanggan XL Selama 4 bulan Terahir gara"" beli Voucher Cuma 68.000 Sudah Dapat 40 GB, Sudah Bebas Ngakses Youtube, ig, Dll mantab pokok nya XL SEMOGA KEDEPANNYA MASIH TETAP DIHATI SEMOGA KEBACA",2,2,2,1,
